geoid,name,story_scale_exclusion
1319084,"Comer city, Georgia",Denominator below story-scale threshold
1319168,"Concord city, Georgia",Denominator below story-scale threshold
1319280,"Conley CDP, Georgia",Percentage MOE exceeds 50% of estimate
1319336,"Conyers city, Georgia",Percentage MOE exceeds 50% of estimate
1319392,"Coolidge city, Georgia",Denominator below story-scale threshold
1319616,"Cordele city, Georgia",Percentage MOE exceeds 50% of estimate
1319728,"Cornelia city, Georgia",Percentage MOE exceeds 50% of estimate
1319830,"Country Club Estates CDP, Georgia",Percentage MOE exceeds 50% of estimate
1320064,"Covington city, Georgia",Percentage MOE exceeds 50% of estimate
1320288,"Crawford city, Georgia",Denominator below story-scale threshold
1320316,"Crawfordville city, Georgia",Denominator below story-scale threshold
1320372,"Crescent CDP, Georgia",Denominator below story-scale threshold
1320550,"Crooked Creek CDP, Georgia",Denominator below story-scale threshold
1320848,"Culloden city, Georgia",Denominator below story-scale threshold
1320932,"Cumming city, Georgia",Denominator below story-scale threshold
1321017,"Cusseta-Chattahoochee County unified government, Georgia",Caregiver count MOE exceeds 50% of estimate
1321072,"Cuthbert city, Georgia",Denominator below story-scale threshold
1321184,"Dacula city, Georgia",Percentage MOE exceeds 50% of estimate
1321240,"Dahlonega city, Georgia",Denominator below story-scale threshold
1321268,"Daisy city, Georgia",Denominator below story-scale threshold
1321324,"Dallas city, Georgia",Percentage MOE exceeds 50% of estimate
1321380,"Dalton city, Georgia",Percentage MOE exceeds 50% of estimate
1321436,"Damascus city, Georgia",Denominator below story-scale threshold
1321632,"Danielsville city, Georgia",Denominator below story-scale threshold
1321688,"Danville town, Georgia",Denominator below story-scale threshold
1321716,"Darien city, Georgia",Denominator below story-scale threshold
1321744,"Dasher town, Georgia",Denominator below story-scale threshold
1321800,"Davisboro city, Georgia",Denominator below story-scale threshold
1321912,"Dawson city, Georgia",Unavailable MOE or zero percentage
1321940,"Dawsonville city, Georgia",Denominator below story-scale threshold
1322024,"Dearing town, Georgia",Denominator below story-scale threshold
1322052,"Decatur city, Georgia",Unavailable MOE or zero percentage
1322080,"Deenwood CDP, Georgia",Denominator below story-scale threshold
1322108,"Deepstep town, Georgia",Denominator below story-scale threshold
1322304,"Demorest city, Georgia",Denominator below story-scale threshold
1322388,"Denton city, Georgia",Denominator below story-scale threshold
1322472,"De Soto city, Georgia",Denominator below story-scale threshold
1322724,"Dewy Rose CDP, Georgia",Denominator below story-scale threshold
1322752,"Dexter town, Georgia",Denominator below story-scale threshold
1322976,"Dillard city, Georgia",Denominator below story-scale threshold
1323060,"Dixie CDP, Georgia",Denominator below story-scale threshold
1323144,"Dixie Union CDP, Georgia",Denominator below story-scale threshold
1323200,"Dock Junction CDP, Georgia",Caregiver count MOE exceeds 50% of estimate
1323284,"Doerun city, Georgia",Denominator below story-scale threshold
1323368,"Donalsonville city, Georgia",Caregiver count MOE exceeds 50% of estimate
1323480,"Dooling town, Georgia",Denominator below story-scale threshold
1323536,"Doraville city, Georgia",Percentage MOE exceeds 50% of estimate
1323872,"Douglas city, Georgia",Caregiver count MOE exceeds 50% of estimate
1323900,"Douglasville city, Georgia",Percentage MOE exceeds 50% of estimate
1324264,"Druid Hills CDP, Georgia",Denominator below story-scale threshold
1324376,"Dublin city, Georgia",Percentage MOE exceeds 50% of estimate
1324488,"Dudley city, Georgia",Denominator below story-scale threshold
1324600,"Duluth city, Georgia",Percentage MOE exceeds 50% of estimate
1324768,"Dunwoody city, Georgia",Percentage MOE exceeds 50% of estimate
1324796,"Du Pont town, Georgia",Denominator below story-scale threshold
1324876,"Dutch Island CDP, Georgia",Denominator below story-scale threshold
1324964,"Eagle Grove CDP, Georgia",Denominator below story-scale threshold
1325300,"East Dublin city, Georgia",Denominator below story-scale threshold
1325356,"East Ellijay city, Georgia",Denominator below story-scale threshold
1325440,"East Griffin CDP, Georgia",Denominator below story-scale threshold
1325552,"Eastman city, Georgia",Percentage MOE exceeds 50% of estimate
1325692,"East Newnan CDP, Georgia",Denominator below story-scale threshold
1325720,"East Point city, Georgia",Caregiver count MOE exceeds 50% of estimate
1326084,"Eatonton city, Georgia",Denominator below story-scale threshold
1326156,"Echols County consolidated government, Georgia",Percentage MOE exceeds 50% of estimate
1326224,"Edge Hill city, Georgia",Denominator below story-scale threshold
1326448,"Edison city, Georgia",Denominator below story-scale threshold
1326616,"Elberton city, Georgia",Denominator below story-scale threshold
1326980,"Ellaville city, Georgia",Denominator below story-scale threshold
1327008,"Ellenton town, Georgia",Denominator below story-scale threshold
1327064,"Ellerslie CDP, Georgia",Denominator below story-scale threshold
1327092,"Ellijay city, Georgia",Denominator below story-scale threshold
1327344,"Emerson city, Georgia",Denominator below story-scale threshold
1327512,"Empire CDP, Georgia",Denominator below story-scale threshold
1327596,"Enigma town, Georgia",Denominator below story-scale threshold
1327708,"Ephesus city, Georgia",Denominator below story-scale threshold
1327736,"Epworth CDP, Georgia",Denominator below story-scale threshold
1327932,"Eton city, Georgia",Denominator below story-scale threshold
1327988,"Euharlee city, Georgia",Unavailable MOE or zero percentage
1328016,"Eulonia CDP, Georgia",Denominator below story-scale threshold
1328044,"Evans CDP, Georgia",Percentage MOE exceeds 50% of estimate
1328100,"Everett CDP, Georgia",Denominator below story-scale threshold
1328296,"Experiment CDP, Georgia",Percentage MOE exceeds 50% of estimate
1328324,"Faceville CDP, Georgia",Denominator below story-scale threshold
1328380,"Fairburn city, Georgia",Percentage MOE exceeds 50% of estimate
1328440,"Fairfield Plantation CDP, Georgia",Percentage MOE exceeds 50% of estimate
1328492,"Fairmount city, Georgia",Denominator below story-scale threshold
1328520,"Fair Oaks CDP, Georgia",Percentage MOE exceeds 50% of estimate
1328548,"Fairplay CDP, Georgia",Denominator below story-scale threshold
1328632,"Fairview CDP, Georgia",Percentage MOE exceeds 50% of estimate
1328744,"Fargo city, Georgia",Denominator below story-scale threshold
1328968,"Fayetteville city, Georgia",Percentage MOE exceeds 50% of estimate
1329528,"Fitzgerald city, Georgia",Percentage MOE exceeds 50% of estimate
1330088,"Flemington city, Georgia",Percentage MOE exceeds 50% of estimate
1330312,"Flovilla city, Georgia",Denominator below story-scale threshold
1330340,"Flowery Branch city, Georgia",Unavailable MOE or zero percentage
1330424,"Folkston city, Georgia",Percentage MOE exceeds 50% of estimate
1330536,"Forest Park city, Georgia",Percentage MOE exceeds 50% of estimate
1330732,"Forsyth city, Georgia",Denominator below story-scale threshold
1330816,"Fort Gaines city, Georgia",Denominator below story-scale threshold
1330956,"Fort Oglethorpe city, Georgia",Percentage MOE exceeds 50% of estimate
1331068,"Fort Stewart CDP, Georgia",Denominator below story-scale threshold
1331096,"Fort Valley city, Georgia",Percentage MOE exceeds 50% of estimate
1331292,"Franklin city, Georgia",Denominator below story-scale threshold
1331320,"Franklin Springs city, Georgia",Denominator below story-scale threshold
1331684,"Funston city, Georgia",Denominator below story-scale threshold
1331908,"Gainesville city, Georgia",Caregiver count MOE exceeds 50% of estimate
