geoid,name,variable,estimate,moe
7219665,"Comerío zona urbana, Puerto Rico",coresident_grandparents_total,72,60
7219837,"Comunas comunidad, Puerto Rico",coresident_grandparents_total,0,15
7220310,"Coquí comunidad, Puerto Rico",coresident_grandparents_total,0,15
7220353,"Corazón comunidad, Puerto Rico",coresident_grandparents_total,19,32
7220482,"Corcovado comunidad, Puerto Rico",coresident_grandparents_total,142,145
7220783,"Corozal zona urbana, Puerto Rico",coresident_grandparents_total,426,227
7220998,"Corral Viejo comunidad, Puerto Rico",coresident_grandparents_total,0,15
7221213,"Coto Laurel comunidad, Puerto Rico",coresident_grandparents_total,0,15
7221385,"Coto Norte comunidad, Puerto Rico",coresident_grandparents_total,0,15
7222589,"Culebra zona urbana, Puerto Rico",coresident_grandparents_total,28,26
7223062,"Daguao comunidad, Puerto Rico",coresident_grandparents_total,71,106
7223341,"Del Carmen comunidad, Puerto Rico",coresident_grandparents_total,0,15
7224008,"Dorado zona urbana, Puerto Rico",coresident_grandparents_total,145,97
7224395,"Duque comunidad, Puerto Rico",coresident_grandparents_total,0,15
7224954,"El Combate comunidad, Puerto Rico",coresident_grandparents_total,0,15
7225556,"El Mangó comunidad, Puerto Rico",coresident_grandparents_total,0,15
7225685,"El Negro comunidad, Puerto Rico",coresident_grandparents_total,17,29
7225771,"El Ojo comunidad, Puerto Rico",coresident_grandparents_total,109,176
7225835,"El Paraiso comunidad, Puerto Rico",coresident_grandparents_total,121,116
7226287,"El Tumbao comunidad, Puerto Rico",coresident_grandparents_total,54,71
7226362,"El Veintiséis comunidad, Puerto Rico",coresident_grandparents_total,0,15
7226502,"Emajagua comunidad, Puerto Rico",coresident_grandparents_total,132,108
7227190,"Esperanza comunidad, Puerto Rico",coresident_grandparents_total,22,40
7227263,"Espino comunidad, Puerto Rico",coresident_grandparents_total,0,15
7227964,"Fajardo zona urbana, Puerto Rico",coresident_grandparents_total,498,205
7228367,"Ferrer comunidad, Puerto Rico",coresident_grandparents_total,0,15
7228824,"Florida zona urbana, Puerto Rico",coresident_grandparents_total,30,50
7229555,"Fránquez comunidad, Puerto Rico",coresident_grandparents_total,0,15
7229682,"Frontón comunidad, Puerto Rico",coresident_grandparents_total,44,73
7229727,"Fuig comunidad, Puerto Rico",coresident_grandparents_total,0,15
7229813,"Galateo comunidad, Puerto Rico",coresident_grandparents_total,82,65
7230372,"Garrochales comunidad, Puerto Rico",coresident_grandparents_total,37,60
7230544,"G. L. García comunidad, Puerto Rico",coresident_grandparents_total,99,115
7231189,"Guánica zona urbana, Puerto Rico",coresident_grandparents_total,120,83
7231877,"Guayabal comunidad, Puerto Rico",coresident_grandparents_total,45,52
7232221,"Guayama zona urbana, Puerto Rico",coresident_grandparents_total,287,145
7232307,"Guayanilla zona urbana, Puerto Rico",coresident_grandparents_total,8,13
7232522,"Guaynabo zona urbana, Puerto Rico",coresident_grandparents_total,727,227
7232823,"Gurabo zona urbana, Puerto Rico",coresident_grandparents_total,101,70
7233184,"Hacienda San José comunidad, Puerto Rico",coresident_grandparents_total,102,121
7233296,"Hatillo zona urbana, Puerto Rico",coresident_grandparents_total,272,140
7233597,"Hato Arriba comunidad, Puerto Rico",coresident_grandparents_total,0,15
7233683,"Hato Candal comunidad, Puerto Rico",coresident_grandparents_total,21,34
7234242,"Hato Viejo comunidad, Puerto Rico",coresident_grandparents_total,0,15
7234914,"Honduras comunidad, Puerto Rico",coresident_grandparents_total,15,25
7235059,"Hormigueros zona urbana, Puerto Rico",coresident_grandparents_total,227,139
7235403,"H. Rivera Colón comunidad, Puerto Rico",coresident_grandparents_total,43,50
7235532,"Humacao zona urbana, Puerto Rico",coresident_grandparents_total,350,211
7235962,"Imbéry comunidad, Puerto Rico",coresident_grandparents_total,140,141
7236177,"Indios comunidad, Puerto Rico",coresident_grandparents_total,37,48
7236263,"Ingenio comunidad, Puerto Rico",coresident_grandparents_total,159,142
7236478,"Isabela zona urbana, Puerto Rico",coresident_grandparents_total,106,106
7236779,"Isleta comunidad, Puerto Rico",coresident_grandparents_total,0,15
7237166,"Jagual comunidad, Puerto Rico",coresident_grandparents_total,15,24
7237336,"Jaguas comunidad, Puerto Rico",coresident_grandparents_total,0,15
7238241,"Jauca comunidad, Puerto Rico",coresident_grandparents_total,22,27
7238370,"Jayuya zona urbana, Puerto Rico",coresident_grandparents_total,88,79
7238671,"Jobos comunidad, Puerto Rico",coresident_grandparents_total,21,34
7238972,"Juana Díaz zona urbana, Puerto Rico",coresident_grandparents_total,96,97
