geoid,name,pct_responsible_exclusion
08043,"Fremont County, Colorado",Retained
21217,"Taylor County, Kentucky",Retained
40071,"Kay County, Oklahoma",Retained
38015,"Burleigh County, North Dakota",Retained
13033,"Burke County, Georgia",Retained
29043,"Christian County, Missouri",Retained
47045,"Dyer County, Tennessee",Retained
28123,"Scott County, Mississippi",Retained
13191,"McIntosh County, Georgia",Retained
01043,"Cullman County, Alabama",Retained
18035,"Delaware County, Indiana",Retained
28011,"Bolivar County, Mississippi",Retained
28081,"Lee County, Mississippi",Retained
47115,"Marion County, Tennessee",Retained
12027,"DeSoto County, Florida",Retained
37023,"Burke County, North Carolina",Retained
05001,"Arkansas County, Arkansas",Retained
47039,"Decatur County, Tennessee",Retained
56013,"Fremont County, Wyoming",Retained
21137,"Lincoln County, Kentucky",Retained
21125,"Laurel County, Kentucky",Retained
51173,"Smyth County, Virginia",Retained
38079,"Rolette County, North Dakota",Retained
05041,"Desha County, Arkansas",Retained
21183,"Ohio County, Kentucky",Retained
47179,"Washington County, Tennessee",Retained
21115,"Johnson County, Kentucky",Retained
20161,"Riley County, Kansas",Retained
55113,"Sawyer County, Wisconsin",Retained
47019,"Carter County, Tennessee",Retained
39079,"Jackson County, Ohio",Retained
22009,"Avoyelles Parish, Louisiana",Retained
40121,"Pittsburg County, Oklahoma",Retained
54083,"Randolph County, West Virginia",Retained
02050,"Bethel Census Area, Alaska",Retained
39001,"Adams County, Ohio",Retained
18077,"Jefferson County, Indiana",Retained
47183,"Weakley County, Tennessee",Retained
27067,"Kandiyohi County, Minnesota",Retained
48077,"Clay County, Texas",Retained
05107,"Phillips County, Arkansas",Retained
28109,"Pearl River County, Mississippi",Retained
51117,"Mecklenburg County, Virginia",Retained
40069,"Johnston County, Oklahoma",Retained
48107,"Crosby County, Texas",Retained
48223,"Hopkins County, Texas",Retained
54005,"Boone County, West Virginia",Retained
33007,"Coos County, New Hampshire",Retained
22069,"Natchitoches Parish, Louisiana",Retained
39143,"Sandusky County, Ohio",Retained
22041,"Franklin Parish, Louisiana",Retained
47077,"Henderson County, Tennessee",Retained
01063,"Greene County, Alabama",Retained
18145,"Shelby County, Indiana",Retained
22073,"Ouachita Parish, Louisiana",Retained
21157,"Marshall County, Kentucky",Retained
36013,"Chautauqua County, New York",Retained
37185,"Warren County, North Carolina",Retained
54033,"Harrison County, West Virginia",Retained
48419,"Shelby County, Texas",Retained
40137,"Stephens County, Oklahoma",Retained
21099,"Hart County, Kentucky",Retained
01125,"Tuscaloosa County, Alabama",Retained
29169,"Pulaski County, Missouri",Retained
05019,"Clark County, Arkansas",Retained
40061,"Haskell County, Oklahoma",Retained
17167,"Sangamon County, Illinois",Retained
18133,"Putnam County, Indiana",Retained
51590,"Danville city, Virginia",Retained
22065,"Madison Parish, Louisiana",Retained
39081,"Jefferson County, Ohio",Retained
40133,"Seminole County, Oklahoma",Retained
56025,"Natrona County, Wyoming",Retained
48147,"Fannin County, Texas",Retained
18061,"Harrison County, Indiana",Retained
21043,"Carter County, Kentucky",Retained
05009,"Boone County, Arkansas",Retained
48165,"Gaines County, Texas",Retained
21019,"Boyd County, Kentucky",Retained
21073,"Franklin County, Kentucky",Retained
42051,"Fayette County, Pennsylvania",Retained
51025,"Brunswick County, Virginia",Retained
40095,"Marshall County, Oklahoma",Retained
22029,"Concordia Parish, Louisiana",Retained
01127,"Walker County, Alabama",Retained
48135,"Ector County, Texas",Retained
46085,"Lyman County, South Dakota",Retained
55125,"Vilas County, Wisconsin",Retained
55078,"Menominee County, Wisconsin",Retained
22063,"Livingston Parish, Louisiana",Retained
32005,"Douglas County, Nevada",Retained
19179,"Wapello County, Iowa",Retained
30047,"Lake County, Montana",Retained
18075,"Jay County, Indiana",Retained
13145,"Harris County, Georgia",Retained
42033,"Clearfield County, Pennsylvania",Retained
17007,"Boone County, Illinois",Retained
13263,"Talbot County, Georgia",Retained
20155,"Reno County, Kansas",Retained
40135,"Sequoyah County, Oklahoma",Retained
47013,"Campbell County, Tennessee",Retained
48401,"Rusk County, Texas",Retained
28149,"Warren County, Mississippi",Retained
37047,"Columbus County, North Carolina",Retained
46023,"Charles Mix County, South Dakota",Retained
20055,"Finney County, Kansas",Retained
40113,"Osage County, Oklahoma",Retained
28127,"Simpson County, Mississippi",Retained
05093,"Mississippi County, Arkansas",Retained
06093,"Siskiyou County, California",Retained
40091,"McIntosh County, Oklahoma",Retained
40101,"Muskogee County, Oklahoma",Retained
01053,"Escambia County, Alabama",Retained
54099,"Wayne County, West Virginia",Retained
48337,"Montague County, Texas",Retained
13177,"Lee County, Georgia",Retained
05023,"Cleburne County, Arkansas",Retained
37019,"Brunswick County, North Carolina",Retained
22097,"St. Landry Parish, Louisiana",Retained
21041,"Carroll County, Kentucky",Retained
55129,"Washburn County, Wisconsin",Retained
48067,"Cass County, Texas",Retained
21195,"Pike County, Kentucky",Retained
12005,"Bay County, Florida",Retained
40077,"Latimer County, Oklahoma",Retained
21177,"Muhlenberg County, Kentucky",Retained
05021,"Clay County, Arkansas",Retained
40041,"Delaware County, Oklahoma",Retained
51740,"Portsmouth city, Virginia",Retained
12093,"Okeechobee County, Florida",Retained
18079,"Jennings County, Indiana",Retained
28087,"Lowndes County, Mississippi",Retained
29225,"Webster County, Missouri",Retained
01005,"Barbour County, Alabama",Retained
39127,"Perry County, Ohio",Retained
21101,"Henderson County, Kentucky",Retained
01039,"Covington County, Alabama",Retained
40099,"Murray County, Oklahoma",Retained
40013,"Bryan County, Oklahoma",Retained
51167,"Russell County, Virginia",Retained
48387,"Red River County, Texas",Retained
28013,"Calhoun County, Mississippi",Retained
54107,"Wood County, West Virginia",Retained
13267,"Tattnall County, Georgia",Retained
29155,"Pemiscot County, Missouri",Retained
01061,"Geneva County, Alabama",Retained
17145,"Perry County, Illinois",Retained
40021,"Cherokee County, Oklahoma",Retained
01079,"Lawrence County, Alabama",Retained
22001,"Acadia Parish, Louisiana",Retained
17117,"Macoupin County, Illinois",Retained
22005,"Ascension Parish, Louisiana",Retained
01025,"Clarke County, Alabama",Retained
31111,"Lincoln County, Nebraska",Retained
17075,"Iroquois County, Illinois",Retained
19181,"Warren County, Iowa",Retained
18029,"Dearborn County, Indiana",Retained
18041,"Fayette County, Indiana",Retained
40039,"Custer County, Oklahoma",Retained
30073,"Pondera County, Montana",Retained
21191,"Pendleton County, Kentucky",Retained
47109,"McNairy County, Tennessee",Retained
22011,"Beauregard Parish, Louisiana",Retained
40015,"Caddo County, Oklahoma",Retained
05051,"Garland County, Arkansas",Retained
40081,"Lincoln County, Oklahoma",Retained
01113,"Russell County, Alabama",Retained
31019,"Buffalo County, Nebraska",Retained
37031,"Carteret County, North Carolina",Retained
21071,"Floyd County, Kentucky",Retained
12131,"Walton County, Florida",Retained
47133,"Overton County, Tennessee",Retained
42065,"Jefferson County, Pennsylvania",Retained
42131,"Wyoming County, Pennsylvania",Retained
37013,"Beaufort County, North Carolina",Retained
47031,"Coffee County, Tennessee",Retained
02198,"Prince of Wales-Hyder Census Area, Alaska",Retained
45069,"Marlboro County, South Carolina",Retained
04017,"Navajo County, Arizona",Retained
45059,"Laurens County, South Carolina",Retained
