geoid,name,estimate_population,estimate_coresident_grandparents_total,estimate_responsible_total,estimate_less_than_six_months,estimate_six_to_eleven_months,estimate_one_or_two_years,estimate_three_or_four_years,estimate_five_plus_years,estimate_not_responsible,moe_population,moe_coresident_grandparents_total,moe_responsible_total,moe_less_than_six_months,moe_six_to_eleven_months,moe_one_or_two_years,moe_three_or_four_years,moe_five_plus_years,moe_not_responsible,duration_sum,duration_difference,duration_reconciliation_status,coresident_components_sum,coresident_difference,coresident_reconciliation_status,pct_responsible,moe_ratio,moe_exceeds_estimate,high_moe_flag,severe_moe_flag,cv_responsible_percent,responsible_ci90_lower,responsible_ci90_upper,pct_responsible_moe,percent_responsible_grandparents_less_than_six_months,percent_responsible_grandparents_less_than_six_months_moe,percent_responsible_grandparents_six_to_eleven_months,percent_responsible_grandparents_six_to_eleven_months_moe,percent_responsible_grandparents_one_or_two_years,percent_responsible_grandparents_one_or_two_years_moe,percent_responsible_grandparents_three_or_four_years,percent_responsible_grandparents_three_or_four_years_moe,percent_responsible_grandparents_five_plus_years,percent_responsible_grandparents_five_plus_years_moe,pct_responsible_ci90_lower,pct_responsible_ci90_upper,pct_responsible_cv_percent,pct_responsible_exclusion,percent_responsible_grandparents_less_than_six_months_ci90_lower,percent_responsible_grandparents_less_than_six_months_ci90_upper,percent_responsible_grandparents_less_than_six_months_cv_percent,percent_responsible_grandparents_less_than_six_months_exclusion,percent_responsible_grandparents_six_to_eleven_months_ci90_lower,percent_responsible_grandparents_six_to_eleven_months_ci90_upper,percent_responsible_grandparents_six_to_eleven_months_cv_percent,percent_responsible_grandparents_six_to_eleven_months_exclusion,percent_responsible_grandparents_one_or_two_years_ci90_lower,percent_responsible_grandparents_one_or_two_years_ci90_upper,percent_responsible_grandparents_one_or_two_years_cv_percent,percent_responsible_grandparents_one_or_two_years_exclusion,percent_responsible_grandparents_three_or_four_years_ci90_lower,percent_responsible_grandparents_three_or_four_years_ci90_upper,percent_responsible_grandparents_three_or_four_years_cv_percent,percent_responsible_grandparents_three_or_four_years_exclusion,percent_responsible_grandparents_five_plus_years_ci90_lower,percent_responsible_grandparents_five_plus_years_ci90_upper,percent_responsible_grandparents_five_plus_years_cv_percent,percent_responsible_grandparents_five_plus_years_exclusion,acs_year,acs_period,acs_product,state_fips,caregivers_per_1000_population,caregivers_per_1000_population_moe,story_scale_exclusion,national_rank_caregiver_count,national_percentile_caregiver_count,national_decile_caregiver_count,eligible_n_caregiver_count,exclusion_reason_caregiver_count,national_rank_caregiving_percent,national_percentile_caregiving_percent,national_decile_caregiving_percent,eligible_n_caregiving_percent,exclusion_reason_caregiving_percent,national_rank_less_than_six_months,national_percentile_less_than_six_months,national_decile_less_than_six_months,eligible_n_less_than_six_months,exclusion_reason_less_than_six_months,national_rank_six_to_eleven_months,national_percentile_six_to_eleven_months,national_decile_six_to_eleven_months,eligible_n_six_to_eleven_months,exclusion_reason_six_to_eleven_months,national_rank_one_or_two_years,national_percentile_one_or_two_years,national_decile_one_or_two_years,eligible_n_one_or_two_years,exclusion_reason_one_or_two_years,national_rank_three_or_four_years,national_percentile_three_or_four_years,national_decile_three_or_four_years,eligible_n_three_or_four_years,exclusion_reason_three_or_four_years,national_rank_five_plus_years,national_percentile_five_plus_years,national_decile_five_plus_years,eligible_n_five_plus_years,exclusion_reason_five_plus_years,national_rank_story_scale_caregiving_percent,national_percentile_story_scale_caregiving_percent,national_decile_story_scale_caregiving_percent,eligible_n_story_scale_caregiving_percent,exclusion_reason_story_scale_caregiving_percent,rank_by_count
1304252,"Austell city, Georgia",8447,399,25,0,0,25,0,0,374,515,374,41,20,20,41,20,20,367,25,0,Pass,399,0,Pass,6.265664160401002,1.64,TRUE,TRUE,TRUE,99.70492043353018,0,66,8.431888029901199,0,80,0,80,100,231.93102422918756,0,80,0,80,0,14.6975521903022,81.81453398174833,Percentage MOE exceeds 50% of estimate,0,80,NA,Unavailable MOE or zero percentage,0,80,NA,Unavailable MOE or zero percentage,0,100,141.0040507124287,Percentage MOE exceeds 50% of estimate,0,80,NA,Unavailable MOE or zero percentage,0,80,NA,Unavailable MOE or zero percentage,2024,2020-2024,ACS five-year,13,2.9596306380963657,4.8504390089413825,Percentage MOE exceeds 50% of estimate,7438,76.54504026468568,8,32038,Retained,NA,NA,NA,771,Percentage MOE exceeds 50% of estimate,NA,NA,NA,48,Unavailable MOE or zero percentage,NA,NA,NA,40,Unavailable MOE or zero percentage,NA,NA,NA,154,Percentage MOE exceeds 50% of estimate,NA,NA,NA,114,Unavailable MOE or zero percentage,NA,NA,NA,593,Unavailable MOE or zero percentage,NA,NA,NA,749,Percentage MOE exceeds 50% of estimate,229
1309040,"Blythe city, Georgia",806,46,25,0,2,8,0,15,21,260,32,23,14,4,12,14,20,22,25,0,Pass,46,0,Pass,54.347826086956516,0.92,FALSE,TRUE,TRUE,55.932028535882786,2,48,32.720282486821795,0,56.00000000000001,8,14.206702643470791,32,37.911560242226905,0,56.00000000000001,60,57.90474937343223,21.62754360013472,87.06810857377832,36.60223547510125,Percentage MOE exceeds 50% of estimate,0,56.00000000000001,NA,Unavailable MOE or zero percentage,0,22.20670264347079,107.96327413796327,Percentage MOE exceeds 50% of estimate,0,69.9115602422269,72.02685018030144,Percentage MOE exceeds 50% of estimate,0,56.00000000000001,NA,Unavailable MOE or zero percentage,2.0952506265677684,100,58.67264663619479,Percentage MOE exceeds 50% of estimate,2024,2020-2024,ACS five-year,13,31.017369727047146,26.72433477015229,Denominator below story-scale threshold,7438,76.54504026468568,8,32038,Retained,NA,NA,NA,771,Percentage MOE exceeds 50% of estimate,NA,NA,NA,48,Unavailable MOE or zero percentage,NA,NA,NA,40,Percentage MOE exceeds 50% of estimate,NA,NA,NA,154,Percentage MOE exceeds 50% of estimate,NA,NA,NA,114,Unavailable MOE or zero percentage,NA,NA,NA,593,Percentage MOE exceeds 50% of estimate,NA,NA,NA,749,Denominator below story-scale threshold,229
1315026,"Centralhatchee town, Georgia",662,39,25,0,0,0,0,25,14,250,30,30,14,14,14,14,30,15,25,0,Pass,39,0,Pass,64.1025641025641,1.2,TRUE,TRUE,TRUE,72.95481982941233,0,55,59.039958765663755,0,56.00000000000001,0,56.00000000000001,0,56.00000000000001,0,56.00000000000001,100,169.7056274847714,5.062605336900347,100,55.99424420830412,Percentage MOE exceeds 50% of estimate,0,56.00000000000001,NA,Unavailable MOE or zero percentage,0,56.00000000000001,NA,Unavailable MOE or zero percentage,0,56.00000000000001,NA,Unavailable MOE or zero percentage,0,56.00000000000001,NA,Unavailable MOE or zero percentage,0,100,103.17369564324052,Percentage MOE exceeds 50% of estimate,2024,2020-2024,ACS five-year,13,37.764350453172206,43.0146624929082,Denominator below story-scale threshold,7438,76.54504026468568,8,32038,Retained,NA,NA,NA,771,Percentage MOE exceeds 50% of estimate,NA,NA,NA,48,Unavailable MOE or zero percentage,NA,NA,NA,40,Unavailable MOE or zero percentage,NA,NA,NA,154,Unavailable MOE or zero percentage,NA,NA,NA,114,Unavailable MOE or zero percentage,NA,NA,NA,593,Percentage MOE exceeds 50% of estimate,NA,NA,NA,749,Denominator below story-scale threshold,229
1367256,"Rossville city, Georgia",3978,25,25,0,0,25,0,0,0,20,39,39,14,14,39,14,14,14,25,0,Pass,25,0,Pass,100,1.56,TRUE,TRUE,TRUE,94.84126577823602,0,64,220.6173157302028,0,56.00000000000001,0,56.00000000000001,100,220.6173157302028,0,56.00000000000001,0,56.00000000000001,0,100,134.12580433621267,Percentage MOE exceeds 50% of estimate,0,56.00000000000001,NA,Unavailable MOE or zero percentage,0,56.00000000000001,NA,Unavailable MOE or zero percentage,0,100,134.12580433621267,Percentage MOE exceeds 50% of estimate,0,56.00000000000001,NA,Unavailable MOE or zero percentage,0,56.00000000000001,NA,Unavailable MOE or zero percentage,2024,2020-2024,ACS five-year,13,6.28456510809452,9.80387065287136,Denominator below story-scale threshold,7438,76.54504026468568,8,32038,Retained,NA,NA,NA,771,Percentage MOE exceeds 50% of estimate,NA,NA,NA,48,Unavailable MOE or zero percentage,NA,NA,NA,40,Unavailable MOE or zero percentage,NA,NA,NA,154,Percentage MOE exceeds 50% of estimate,NA,NA,NA,114,Unavailable MOE or zero percentage,NA,NA,NA,593,Unavailable MOE or zero percentage,NA,NA,NA,749,Denominator below story-scale threshold,229
1379808,"Waco city, Georgia",779,38,25,0,0,14,0,11,13,324,40,24,14,14,17,14,18,19,25,0,Pass,38,0,Pass,65.78947368421053,0.96,FALSE,TRUE,TRUE,58.363855863529864,1,49,93.72710341351942,0,56.00000000000001,0,56.00000000000001,56.00000000000001,41.63967338968931,0,56.00000000000001,44,58.30765301399122,0,100,86.61268994043607,Percentage MOE exceeds 50% of estimate,0,56.00000000000001,NA,Unavailable MOE or zero percentage,0,56.00000000000001,NA,Unavailable MOE or zero percentage,14.3603266103107,97.6396733896893,45.20557842113628,Percentage MOE exceeds 50% of estimate,0,56.00000000000001,NA,Unavailable MOE or zero percentage,0,100,80.56485455135645,Percentage MOE exceeds 50% of estimate,2024,2020-2024,ACS five-year,13,32.09242618741977,27.76713322683402,Denominator below story-scale threshold,7438,76.54504026468568,8,32038,Retained,NA,NA,NA,771,Percentage MOE exceeds 50% of estimate,NA,NA,NA,48,Unavailable MOE or zero percentage,NA,NA,NA,40,Unavailable MOE or zero percentage,NA,NA,NA,154,Percentage MOE exceeds 50% of estimate,NA,NA,NA,114,Unavailable MOE or zero percentage,NA,NA,NA,593,Percentage MOE exceeds 50% of estimate,NA,NA,NA,749,Denominator below story-scale threshold,229
1354124,"Nahunta city, Georgia",1386,29,24,0,0,0,6,18,5,504,26,22,14,14,14,13,19,9,24,0,Pass,29,0,Pass,82.75862068965517,0.9166666666666666,FALSE,TRUE,TRUE,55.72937625857885,2,46,15.805116431213575,0,58.333333333333336,0,58.333333333333336,0,58.333333333333336,25,49.080079122457285,75,39.25300766961828,66.9535042584416,98.56373712086875,11.610667787166683,Caregiver count MOE exceeds 50% of estimate,0,58.333333333333336,NA,Unavailable MOE or zero percentage,0,58.333333333333336,NA,Unavailable MOE or zero percentage,0,58.333333333333336,NA,Unavailable MOE or zero percentage,0,74.08007912245728,119.35427765307242,Percentage MOE exceeds 50% of estimate,35.74699233038172,100,31.818845581106014,Percentage MOE exceeds 50% of estimate,2024,2020-2024,ACS five-year,13,17.316017316017316,14.570647866867098,Denominator below story-scale threshold,7593,76.06748236469193,8,32038,Retained,NA,NA,NA,771,Caregiver count MOE exceeds 50% of estimate,NA,NA,NA,48,Unavailable MOE or zero percentage,NA,NA,NA,40,Unavailable MOE or zero percentage,NA,NA,NA,154,Unavailable MOE or zero percentage,NA,NA,NA,114,Percentage MOE exceeds 50% of estimate,NA,NA,NA,593,Percentage MOE exceeds 50% of estimate,NA,NA,NA,749,Denominator below story-scale threshold,235
1336052,"Hahira city, Georgia",3451,47,23,23,0,0,0,0,24,20,59,38,38,14,14,14,14,44,23,0,Pass,47,0,Pass,48.93617021276596,1.6521739130434783,TRUE,TRUE,TRUE,100.44504179411841,0,61,52.5660229986017,100,233.65267552251137,0,60.86956521739131,0,60.86956521739131,0,60.86956521739131,0,60.86956521739131,0,100,65.30521834766355,Percentage MOE exceeds 50% of estimate,0,100,142.05074037837463,Percentage MOE exceeds 50% of estimate,0,60.86956521739131,NA,Unavailable MOE or zero percentage,0,60.86956521739131,NA,Unavailable MOE or zero percentage,0,60.86956521739131,NA,Unavailable MOE or zero percentage,0,60.86956521739131,NA,Unavailable MOE or zero percentage,2024,2020-2024,ACS five-year,13,6.664734859461026,11.011233328512889,Denominator below story-scale threshold,7744,75.58992446469817,8,32038,Retained,NA,NA,NA,771,Percentage MOE exceeds 50% of estimate,NA,NA,NA,48,Percentage MOE exceeds 50% of estimate,NA,NA,NA,40,Unavailable MOE or zero percentage,NA,NA,NA,154,Unavailable MOE or zero percentage,NA,NA,NA,114,Unavailable MOE or zero percentage,NA,NA,NA,593,Unavailable MOE or zero percentage,NA,NA,NA,749,Denominator below story-scale threshold,236
1369448,"Screven city, Georgia",689,36,23,1,0,0,0,22,13,253,29,23,3,14,14,14,24,13,23,0,Pass,36,0,Pass,63.888888888888886,1,FALSE,TRUE,TRUE,60.79568319117694,0,46,37.85546043033453,4.3478260869565215,12.297509238026914,0,60.86956521739131,0,60.86956521739131,0,60.86956521739131,95.65217391304348,41.702882811414945,26.033428458554354,100,36.02267341636309,Percentage MOE exceeds 50% of estimate,0,16.645335324983435,171.95615940540088,Percentage MOE exceeds 50% of estimate,0,60.86956521739131,NA,Unavailable MOE or zero percentage,0,60.86956521739131,NA,Unavailable MOE or zero percentage,0,60.86956521739131,NA,Unavailable MOE or zero percentage,53.94929110162854,100,26.505986720870865,Caregiver count MOE exceeds 50% of estimate,2024,2020-2024,ACS five-year,13,33.38171262699564,31.04974860367367,Denominator below story-scale threshold,7744,75.58992446469817,8,32038,Retained,NA,NA,NA,771,Percentage MOE exceeds 50% of estimate,NA,NA,NA,48,Percentage MOE exceeds 50% of estimate,NA,NA,NA,40,Unavailable MOE or zero percentage,NA,NA,NA,154,Unavailable MOE or zero percentage,NA,NA,NA,114,Unavailable MOE or zero percentage,NA,NA,NA,593,Caregiver count MOE exceeds 50% of estimate,NA,NA,NA,749,Denominator below story-scale threshold,236
1375888,"Tennille city, Georgia",1650,23,23,5,0,0,0,18,0,333,28,28,8,14,14,14,28,14,23,0,Pass,23,0,Pass,100,1.2173913043478262,TRUE,TRUE,TRUE,74.01213605882411,0,51,172.1651293323768,21.73913043478261,22.570603488240906,0,60.86956521739131,0,60.86956521739131,0,60.86956521739131,78.26086956521739,75.78430808539468,0,100,104.66896659459185,Percentage MOE exceeds 50% of estimate,0,44.309733923023515,63.12098191881929,Percentage MOE exceeds 50% of estimate,0,60.86956521739131,NA,Unavailable MOE or zero percentage,0,60.86956521739131,NA,Unavailable MOE or zero percentage,0,60.86956521739131,NA,Unavailable MOE or zero percentage,2.4765614798227062,100,58.8718067000615,Percentage MOE exceeds 50% of estimate,2024,2020-2024,ACS five-year,13,13.93939393939394,16.734885443441822,Denominator below story-scale threshold,7744,75.58992446469817,8,32038,Retained,NA,NA,NA,771,Percentage MOE exceeds 50% of estimate,NA,NA,NA,48,Percentage MOE exceeds 50% of estimate,NA,NA,NA,40,Unavailable MOE or zero percentage,NA,NA,NA,154,Unavailable MOE or zero percentage,NA,NA,NA,114,Unavailable MOE or zero percentage,NA,NA,NA,593,Percentage MOE exceeds 50% of estimate,NA,NA,NA,749,Denominator below story-scale threshold,236
1377372,"Trenton city, Georgia",2123,63,23,0,0,18,5,0,40,440,57,32,14,14,30,10,14,50,23,0,Pass,63,0,Pass,36.507936507936506,1.391304347826087,TRUE,TRUE,TRUE,84.58529835294182,0,55,38.58689737569664,0,60.86956521739131,0,60.86956521739131,78.26086956521739,71.81474231354281,21.73913043478261,31.233859436405115,0,60.86956521739131,0,75.09483388363314,64.2577207198037,Percentage MOE exceeds 50% of estimate,0,60.86956521739131,NA,Unavailable MOE or zero percentage,0,60.86956521739131,NA,Unavailable MOE or zero percentage,6.446127251674582,100,55.788114116363126,Percentage MOE exceeds 50% of estimate,0,52.97298987118772,87.34865586413814,Percentage MOE exceeds 50% of estimate,0,60.86956521739131,NA,Unavailable MOE or zero percentage,2024,2020-2024,ACS five-year,13,10.833725859632596,14.904835201108957,Denominator below story-scale threshold,7744,75.58992446469817,8,32038,Retained,NA,NA,NA,771,Percentage MOE exceeds 50% of estimate,NA,NA,NA,48,Unavailable MOE or zero percentage,NA,NA,NA,40,Unavailable MOE or zero percentage,NA,NA,NA,154,Percentage MOE exceeds 50% of estimate,NA,NA,NA,114,Percentage MOE exceeds 50% of estimate,NA,NA,NA,593,Unavailable MOE or zero percentage,NA,NA,NA,749,Denominator below story-scale threshold,236
1378744,"Uvalda city, Georgia",540,58,23,0,0,13,0,10,35,200,53,24,14,14,17,14,16,43,23,0,Pass,58,0,Pass,39.6551724137931,1.0434782608695652,TRUE,TRUE,TRUE,63.43897376470637,0,47,19.978850649060025,0,60.86956521739131,0,60.86956521739131,56.52173913043478,44.54875138577139,0,60.86956521739131,43.47826086956522,52.73526132071893,19.67632176473308,59.63402306285313,30.629746402555387,Percentage MOE exceeds 50% of estimate,0,60.86956521739131,NA,Unavailable MOE or zero percentage,0,60.86956521739131,NA,Unavailable MOE or zero percentage,11.972987744663392,100,47.91734680282525,Percentage MOE exceeds 50% of estimate,0,60.86956521739131,NA,Unavailable MOE or zero percentage,0,96.21352219028415,73.73975352594216,Percentage MOE exceeds 50% of estimate,2024,2020-2024,ACS five-year,13,42.59259259259259,41.55065504913901,Denominator below story-scale threshold,7744,75.58992446469817,8,32038,Retained,NA,NA,NA,771,Percentage MOE exceeds 50% of estimate,NA,NA,NA,48,Unavailable MOE or zero percentage,NA,NA,NA,40,Unavailable MOE or zero percentage,NA,NA,NA,154,Percentage MOE exceeds 50% of estimate,NA,NA,NA,114,Unavailable MOE or zero percentage,NA,NA,NA,593,Percentage MOE exceeds 50% of estimate,NA,NA,NA,749,Denominator below story-scale threshold,236
1383896,"Woodbury city, Georgia",820,32,23,9,0,7,7,0,9,309,31,30,16,14,15,11,14,11,23,0,Pass,32,0,Pass,71.875,1.3043478260869565,TRUE,TRUE,TRUE,79.29871720588297,0,53,62.77641208629807,39.130434782608695,47.268052059146406,0,60.86956521739131,30.434782608695656,51.743726628245724,30.434782608695656,26.6728271918629,0,60.86956521739131,9.098587913701927,100,53.09961545846746,Percentage MOE exceeds 50% of estimate,0,86.3984868417551,73.43883435021583,Percentage MOE exceeds 50% of estimate,0,60.86956521739131,NA,Unavailable MOE or zero percentage,0,82.17850923694138,103.36184265442704,Percentage MOE exceeds 50% of estimate,3.7619554168327554,57.107609800558556,53.280904700998065,Percentage MOE exceeds 50% of estimate,0,60.86956521739131,NA,Unavailable MOE or zero percentage,2024,2020-2024,ACS five-year,13,28.04878048780488,35.02531256541688,Denominator below story-scale threshold,7744,75.58992446469817,8,32038,Retained,NA,NA,NA,771,Percentage MOE exceeds 50% of estimate,NA,NA,NA,48,Percentage MOE exceeds 50% of estimate,NA,NA,NA,40,Unavailable MOE or zero percentage,NA,NA,NA,154,Percentage MOE exceeds 50% of estimate,NA,NA,NA,114,Percentage MOE exceeds 50% of estimate,NA,NA,NA,593,Unavailable MOE or zero percentage,NA,NA,NA,749,Denominator below story-scale threshold,236
1326616,"Elberton city, Georgia",4720,73,22,0,0,0,22,0,51,19,71,31,14,14,14,31,14,58,22,0,Pass,73,0,Pass,30.136986301369863,1.4090909090909092,TRUE,TRUE,TRUE,85.6666444966584,0,53,30.727626020862353,0,63.63636363636363,0,63.63636363636363,0,63.63636363636363,100,199.27554742529975,0,63.63636363636363,0,60.86461232223222,61.98718737501628,Percentage MOE exceeds 50% of estimate,0,63.63636363636363,NA,Unavailable MOE or zero percentage,0,63.63636363636363,NA,Unavailable MOE or zero percentage,0,63.63636363636363,NA,Unavailable MOE or zero percentage,0,100,121.15093049016879,Percentage MOE exceeds 50% of estimate,0,63.63636363636363,NA,Unavailable MOE or zero percentage,2024,2020-2024,ACS five-year,13,4.661016949152542,6.567769810109621,Denominator below story-scale threshold,7899,75.08427492352831,8,32038,Retained,NA,NA,NA,771,Percentage MOE exceeds 50% of estimate,NA,NA,NA,48,Unavailable MOE or zero percentage,NA,NA,NA,40,Unavailable MOE or zero percentage,NA,NA,NA,154,Unavailable MOE or zero percentage,NA,NA,NA,114,Percentage MOE exceeds 50% of estimate,NA,NA,NA,593,Unavailable MOE or zero percentage,NA,NA,NA,749,Denominator below story-scale threshold,242
1330816,"Fort Gaines city, Georgia",1248,52,22,12,0,2,0,8,30,233,41,22,18,14,5,14,11,37,22,0,Pass,52,0,Pass,42.30769230769231,1,FALSE,TRUE,TRUE,60.79568319117694,0,44,26.022787205460684,54.54545454545454,60.983672113630625,0,63.63636363636363,9.090909090909092,20.829889522526546,0,63.63636363636363,36.36363636363637,34.31742925123068,16.284905102231622,68.330479513153,37.394455721872376,Percentage MOE exceeds 50% of estimate,0,100,67.97164017700649,Percentage MOE exceeds 50% of estimate,0,63.63636363636363,NA,Unavailable MOE or zero percentage,0,29.920798613435636,139.30041007506136,Percentage MOE exceeds 50% of estimate,0,63.63636363636363,NA,Unavailable MOE or zero percentage,2.046207112405689,70.68106561486704,57.37466780906983,Percentage MOE exceeds 50% of estimate,2024,2020-2024,ACS five-year,13,17.628205128205128,17.31825222686803,Denominator below story-scale threshold,7899,75.08427492352831,8,32038,Retained,NA,NA,NA,771,Percentage MOE exceeds 50% of estimate,NA,NA,NA,48,Percentage MOE exceeds 50% of estimate,NA,NA,NA,40,Unavailable MOE or zero percentage,NA,NA,NA,154,Percentage MOE exceeds 50% of estimate,NA,NA,NA,114,Unavailable MOE or zero percentage,NA,NA,NA,593,Percentage MOE exceeds 50% of estimate,NA,NA,NA,749,Denominator below story-scale threshold,242
1335814,"Gumlog CDP, Georgia",2382,46,22,0,0,0,6,16,24,403,49,30,14,14,14,11,27,39,22,0,Pass,46,0,Pass,47.82608695652174,1.3636363636363635,TRUE,TRUE,TRUE,82.9032043516049,0,52,40.71727895729387,0,63.63636363636363,0,63.63636363636363,0,63.63636363636363,27.27272727272727,33.42002024065414,72.72727272727273,72.29515691813222,7.108807999227871,88.54336591381562,51.75909110324683,Percentage MOE exceeds 50% of estimate,0,63.63636363636363,NA,Unavailable MOE or zero percentage,0,63.63636363636363,NA,Unavailable MOE or zero percentage,0,63.63636363636363,NA,Unavailable MOE or zero percentage,0,60.692747513381406,74.49907530242943,Percentage MOE exceeds 50% of estimate,0.4321158091405124,100,60.43446002345386,Percentage MOE exceeds 50% of estimate,2024,2020-2024,ACS five-year,13,9.235936188077247,12.497147880850354,Denominator below story-scale threshold,7899,75.08427492352831,8,32038,Retained,NA,NA,NA,771,Percentage MOE exceeds 50% of estimate,NA,NA,NA,48,Unavailable MOE or zero percentage,NA,NA,NA,40,Unavailable MOE or zero percentage,NA,NA,NA,154,Unavailable MOE or zero percentage,NA,NA,NA,114,Percentage MOE exceeds 50% of estimate,NA,NA,NA,593,Percentage MOE exceeds 50% of estimate,NA,NA,NA,749,Denominator below story-scale threshold,242
1342184,"Jersey city, Georgia",148,31,22,0,0,22,0,0,9,107,36,33,14,14,33,14,14,14,22,0,Pass,31,0,Pass,70.96774193548387,1.5,TRUE,TRUE,TRUE,91.19352478676541,0,55,67.37843462242489,0,63.63636363636363,0,63.63636363636363,100,212.13203435596424,0,63.63636363636363,0,63.63636363636363,3.589307313058981,100,57.72084405540613,Percentage MOE exceeds 50% of estimate,0,63.63636363636363,NA,Unavailable MOE or zero percentage,0,63.63636363636363,NA,Unavailable MOE or zero percentage,0,100,128.96711955405064,Percentage MOE exceeds 50% of estimate,0,63.63636363636363,NA,Unavailable MOE or zero percentage,0,63.63636363636363,NA,Unavailable MOE or zero percentage,2024,2020-2024,ACS five-year,13,148.64864864864865,195.36471097060223,Denominator below story-scale threshold,7899,75.08427492352831,8,32038,Retained,NA,NA,NA,771,Percentage MOE exceeds 50% of estimate,NA,NA,NA,48,Unavailable MOE or zero percentage,NA,NA,NA,40,Unavailable MOE or zero percentage,NA,NA,NA,154,Percentage MOE exceeds 50% of estimate,NA,NA,NA,114,Unavailable MOE or zero percentage,NA,NA,NA,593,Unavailable MOE or zero percentage,NA,NA,NA,749,Denominator below story-scale threshold,242
1350484,"Maysville town, Georgia",2086,69,22,0,0,11,0,11,47,408,37,22,14,14,16,14,12,32,22,0,Pass,69,0,Pass,31.88405797101449,1,FALSE,TRUE,TRUE,60.79568319117694,0,44,26.912399506687063,0,63.63636363636363,0,63.63636363636363,50,52.813409266464774,0,63.63636363636363,50,21.799234196875997,4.971658464327426,58.79645747770155,51.31585558558291,Percentage MOE exceeds 50% of estimate,0,63.63636363636363,NA,Unavailable MOE or zero percentage,0,63.63636363636363,NA,Unavailable MOE or zero percentage,0,100,64.21654596019921,Percentage MOE exceeds 50% of estimate,0,63.63636363636363,NA,Unavailable MOE or zero percentage,28.200765803124003,71.799234196876,26.505986720870872,Caregiver count MOE exceeds 50% of estimate,2024,2020-2024,ACS five-year,13,10.546500479386385,10.342803541306724,Denominator below story-scale threshold,7899,75.08427492352831,8,32038,Retained,NA,NA,NA,771,Percentage MOE exceeds 50% of estimate,NA,NA,NA,48,Unavailable MOE or zero percentage,NA,NA,NA,40,Unavailable MOE or zero percentage,NA,NA,NA,154,Percentage MOE exceeds 50% of estimate,NA,NA,NA,114,Unavailable MOE or zero percentage,NA,NA,NA,593,Caregiver count MOE exceeds 50% of estimate,NA,NA,NA,749,Denominator below story-scale threshold,242
1380228,"Walnut Grove city, Georgia",1685,31,22,0,0,0,0,22,9,473,23,21,14,14,14,14,21,8,22,0,Pass,31,0,Pass,70.96774193548387,0.9545454545454546,FALSE,TRUE,TRUE,58.03224304612344,1,43,42.621358966948115,0,63.63636363636363,0,63.63636363636363,0,63.63636363636363,0,63.63636363636363,100,134.99311277197725,28.346382968535757,100,36.51228806586008,Percentage MOE exceeds 50% of estimate,0,63.63636363636363,NA,Unavailable MOE or zero percentage,0,63.63636363636363,NA,Unavailable MOE or zero percentage,0,63.63636363636363,NA,Unavailable MOE or zero percentage,0,63.63636363636363,NA,Unavailable MOE or zero percentage,0,100,82.06998517075951,Percentage MOE exceeds 50% of estimate,2024,2020-2024,ACS five-year,13,13.056379821958458,11.911810547994605,Denominator below story-scale threshold,7899,75.08427492352831,8,32038,Retained,NA,NA,NA,771,Percentage MOE exceeds 50% of estimate,NA,NA,NA,48,Unavailable MOE or zero percentage,NA,NA,NA,40,Unavailable MOE or zero percentage,NA,NA,NA,154,Unavailable MOE or zero percentage,NA,NA,NA,114,Unavailable MOE or zero percentage,NA,NA,NA,593,Percentage MOE exceeds 50% of estimate,NA,NA,NA,749,Denominator below story-scale threshold,242
1331292,"Franklin city, Georgia",958,31,21,0,0,6,0,15,10,254,25,25,14,14,11,14,23,9,21,0,Pass,31,0,Pass,67.74193548387096,1.1904761904761905,TRUE,TRUE,TRUE,72.37581332282969,0,46,59.322342617020716,0,66.66666666666666,0,66.66666666666666,28.57142857142857,39.83514550192477,0,66.66666666666666,71.42857142857143,69.02667153178677,8.419592866850245,100,53.2394346595182,Percentage MOE exceeds 50% of estimate,0,66.66666666666666,NA,Unavailable MOE or zero percentage,0,66.66666666666666,NA,Unavailable MOE or zero percentage,0,68.40657407335334,84.76317100333095,Percentage MOE exceeds 50% of estimate,0,66.66666666666666,NA,Unavailable MOE or zero percentage,2.4018998967846557,100,58.75133115863117,Percentage MOE exceeds 50% of estimate,2024,2020-2024,ACS five-year,13,21.920668058455117,25.44060096204354,Denominator below story-scale threshold,8068,74.5396092140583,8,32038,Retained,NA,NA,NA,771,Percentage MOE exceeds 50% of estimate,NA,NA,NA,48,Unavailable MOE or zero percentage,NA,NA,NA,40,Unavailable MOE or zero percentage,NA,NA,NA,154,Percentage MOE exceeds 50% of estimate,NA,NA,NA,114,Unavailable MOE or zero percentage,NA,NA,NA,593,Percentage MOE exceeds 50% of estimate,NA,NA,NA,749,Denominator below story-scale threshold,248
